"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.10","192.168.1.20","TCP","74","40016  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1449942065 TSecr=0 WS=512"
"2","0.000022427","192.168.1.20","192.168.1.10","TCP","74","44818  >  40016 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524309553 TSecr=1449942065 WS=512"
"3","0.000032410","192.168.1.10","192.168.1.20","TCP","66","40016  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1449942065 TSecr=524309553"
"4","0.025944454","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"5","0.025962112","192.168.1.20","192.168.1.10","TCP","66","44818  >  40016 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524309579 TSecr=1449942091"
"6","0.030365672","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xC6C8286C"
"7","0.030391030","192.168.1.10","192.168.1.20","TCP","66","40016  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1449942095 TSecr=524309583"
"8","0.031559967","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"9","0.043918124","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"10","0.047364511","192.168.1.10","192.168.1.20","TCP","66","40016  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1449942112 TSecr=524309597"
"11","0.047801613","192.168.1.20","192.168.1.10","TCP","66","44818  >  40016 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524309601 TSecr=1449942112"
"12","0.047821591","192.168.1.10","192.168.1.20","TCP","66","40016  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1449942113 TSecr=524309601"
"13","0.277381471","192.168.1.10","192.168.1.30","TCP","74","34680  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3348803009 TSecr=0 WS=512"
"14","0.277404216","192.168.1.30","192.168.1.10","TCP","74","44818  >  34680 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=61701460 TSecr=3348803009 WS=512"
"15","0.277414330","192.168.1.10","192.168.1.30","TCP","66","34680  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3348803009 TSecr=61701460"
"16","0.305476864","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"17","0.305493659","192.168.1.30","192.168.1.10","TCP","66","44818  >  34680 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=61701488 TSecr=3348803037"
"18","0.308609954","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xC5513D55"
"19","0.308633159","192.168.1.10","192.168.1.30","TCP","66","34680  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=3348803040 TSecr=61701491"
"20","0.309872358","192.168.1.10","192.168.1.30","CIP CM","134","Unconnected Send: 'LIT301:3' - Service (0x4c)"
"21","0.323228834","192.168.1.30","192.168.1.10","CIP","116","Success: 'LIT301:3' - Service (0x4c)"
