"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.10","192.168.1.30","TCP","74","57884  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3349197132 TSecr=0 WS=512"
"2","0.000020195","192.168.1.30","192.168.1.10","TCP","74","44818  >  57884 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=62095583 TSecr=3349197132 WS=512"
"3","0.000031324","192.168.1.10","192.168.1.30","TCP","66","57884  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3349197132 TSecr=62095583"
"4","0.029129639","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"5","0.029146583","192.168.1.30","192.168.1.10","TCP","66","44818  >  57884 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=62095612 TSecr=3349197161"
"6","0.032279776","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x19CE6902"
"7","0.032310309","192.168.1.10","192.168.1.30","TCP","66","57884  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=3349197164 TSecr=62095615"
"8","0.033732491","192.168.1.10","192.168.1.30","CIP CM","134","Unconnected Send: 'LIT301:3' - Service (0x4c)"
"9","0.046203886","192.168.1.30","192.168.1.10","CIP","116","Success: 'LIT301:3' - Service (0x4c)"
"10","0.049882701","192.168.1.10","192.168.1.30","TCP","66","57884  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=3349197182 TSecr=62095629"
"11","0.050415309","192.168.1.30","192.168.1.10","TCP","66","44818  >  57884 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=62095633 TSecr=3349197182"
"12","0.050441898","192.168.1.10","192.168.1.30","TCP","66","57884  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=3349197182 TSecr=62095633"
"13","1.118291342","192.168.1.10","192.168.1.30","TCP","74","57892  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3349198250 TSecr=0 WS=512"
"14","1.118311417","192.168.1.30","192.168.1.10","TCP","74","44818  >  57892 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=62096701 TSecr=3349198250 WS=512"
"15","1.118323786","192.168.1.10","192.168.1.30","TCP","66","57892  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3349198250 TSecr=62096701"
"16","1.146613376","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"17","1.146629324","192.168.1.30","192.168.1.10","TCP","66","44818  >  57892 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=62096729 TSecr=3349198278"
"18","1.149715524","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x0365EEEA"
"19","1.149742021","192.168.1.10","192.168.1.30","TCP","66","57892  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=3349198282 TSecr=62096733"
"20","1.150962767","192.168.1.10","192.168.1.30","CIP CM","134","Unconnected Send: 'LIT301:3' - Service (0x4c)"
"21","1.162937666","192.168.1.30","192.168.1.10","CIP","116","Success: 'LIT301:3' - Service (0x4c)"
"22","1.166345033","192.168.1.10","192.168.1.30","TCP","66","57892  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=3349198298 TSecr=62096746"
"23","1.166826704","192.168.1.30","192.168.1.10","TCP","66","44818  >  57892 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=62096750 TSecr=3349198298"
"24","1.166851855","192.168.1.10","192.168.1.30","TCP","66","57892  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=3349198299 TSecr=62096750"
"25","2.257253715","192.168.1.10","192.168.1.30","TCP","74","54590  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3349199389 TSecr=0 WS=512"
"26","2.257272043","192.168.1.30","192.168.1.10","TCP","74","44818  >  54590 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=62097840 TSecr=3349199389 WS=512"
"27","2.257283087","192.168.1.10","192.168.1.30","TCP","66","54590  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3349199389 TSecr=62097840"
"28","2.283444769","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"29","2.283459204","192.168.1.30","192.168.1.10","TCP","66","44818  >  54590 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=62097866 TSecr=3349199415"
"30","2.286542575","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xE6FFF6AA"
"31","2.286570007","192.168.1.10","192.168.1.30","TCP","66","54590  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=3349199418 TSecr=62097869"
"32","2.287734812","192.168.1.10","192.168.1.30","CIP CM","134","Unconnected Send: 'LIT301:3' - Service (0x4c)"
"33","2.299917672","192.168.1.30","192.168.1.10","CIP","116","Success: 'LIT301:3' - Service (0x4c)"
"34","2.303115264","192.168.1.10","192.168.1.30","TCP","66","54590  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=3349199435 TSecr=62097883"
"35","2.303615200","192.168.1.30","192.168.1.10","TCP","66","44818  >  54590 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=62097886 TSecr=3349199435"
"36","2.303640841","192.168.1.10","192.168.1.30","TCP","66","54590  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=3349199435 TSecr=62097886"
"37","3.730581272","192.168.1.10","192.168.1.30","TCP","74","54602  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3349200862 TSecr=0 WS=512"
"38","3.730600562","192.168.1.30","192.168.1.10","TCP","74","44818  >  54602 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=62099313 TSecr=3349200862 WS=512"
"39","3.730611948","192.168.1.10","192.168.1.30","TCP","66","54602  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3349200862 TSecr=62099313"
"40","3.758750938","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"41","3.758766911","192.168.1.30","192.168.1.10","TCP","66","44818  >  54602 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=62099342 TSecr=3349200891"
"42","3.761879564","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x0A0680C1"
"43","3.761912033","192.168.1.10","192.168.1.30","TCP","66","54602  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=3349200894 TSecr=62099345"
"44","3.763228373","192.168.1.10","192.168.1.30","CIP CM","134","Unconnected Send: 'LIT301:3' - Service (0x4c)"
"45","3.775561885","192.168.1.30","192.168.1.10","CIP","116","Success: 'LIT301:3' - Service (0x4c)"
"46","3.779027262","192.168.1.10","192.168.1.30","TCP","66","54602  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=3349200911 TSecr=62099358"
"47","3.779502998","192.168.1.30","192.168.1.10","TCP","66","44818  >  54602 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=62099362 TSecr=3349200911"
"48","3.779528211","192.168.1.10","192.168.1.30","TCP","66","54602  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=3349200911 TSecr=62099362"
"49","4.816639044","192.168.1.10","192.168.1.30","TCP","74","54614  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3349201948 TSecr=0 WS=512"
"50","4.816666590","192.168.1.30","192.168.1.10","TCP","74","44818  >  54614 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=62100400 TSecr=3349201948 WS=512"
"51","4.816681983","192.168.1.10","192.168.1.30","TCP","66","54614  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3349201949 TSecr=62100400"
"52","4.844794482","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"53","4.844811678","192.168.1.30","192.168.1.10","TCP","66","44818  >  54614 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=62100428 TSecr=3349201977"
"54","4.847959876","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x12D76368"
"55","4.847990382","192.168.1.10","192.168.1.30","TCP","66","54614  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=3349201980 TSecr=62100431"
"56","4.849273255","192.168.1.10","192.168.1.30","CIP CM","134","Unconnected Send: 'LIT301:3' - Service (0x4c)"
"57","4.861908278","192.168.1.30","192.168.1.10","CIP","116","Success: 'LIT301:3' - Service (0x4c)"
"58","4.865471066","192.168.1.10","192.168.1.30","TCP","66","54614  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=3349201997 TSecr=62100445"
"59","4.866014720","192.168.1.30","192.168.1.10","TCP","66","44818  >  54614 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=62100449 TSecr=3349201997"
"60","4.866043085","192.168.1.10","192.168.1.30","TCP","66","54614  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=3349201998 TSecr=62100449"
"61","6.073099117","192.168.1.10","192.168.1.30","TCP","74","54628  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3349203205 TSecr=0 WS=512"
"62","6.073118160","192.168.1.30","192.168.1.10","TCP","74","44818  >  54628 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=62101656 TSecr=3349203205 WS=512"
"63","6.073129273","192.168.1.10","192.168.1.30","TCP","66","54628  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3349203205 TSecr=62101656"
"64","6.099357981","192.168.1.10","192.168.1.30","ENIP","94","Register Session (Req), Session: 0x00000000"
"65","6.099372469","192.168.1.30","192.168.1.10","TCP","66","44818  >  54628 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=62101682 TSecr=3349203231"
"66","6.102523489","192.168.1.30","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xCDB7A59F"
