"No.","Time","Source","Destination","Protocol","Length","Info"
"535","54.026492637","192.168.1.10","192.168.1.20","TCP","66","33824  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450135039 TSecr=524502527"
"536","54.027615956","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"537","54.038775798","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"538","54.041925871","192.168.1.10","192.168.1.20","TCP","66","33824  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450135055 TSecr=524502539"
"539","54.042425061","192.168.1.20","192.168.1.10","TCP","66","44818  >  33824 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524502543 TSecr=1450135055"
"540","54.042448981","192.168.1.10","192.168.1.20","TCP","66","33824  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450135055 TSecr=524502543"
"541","55.309789574","192.168.1.10","192.168.1.20","TCP","74","33826  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450136322 TSecr=0 WS=512"
"542","55.309808685","192.168.1.20","192.168.1.10","TCP","74","44818  >  33826 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524503810 TSecr=1450136322 WS=512"
"543","55.309819502","192.168.1.10","192.168.1.20","TCP","66","33826  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450136322 TSecr=524503810"
"544","55.336976506","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"545","55.336991162","192.168.1.20","192.168.1.10","TCP","66","44818  >  33826 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524503838 TSecr=1450136350"
"546","55.340132543","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x0D68709D"
"547","55.340159289","192.168.1.10","192.168.1.20","TCP","66","33826  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450136353 TSecr=524503841"
"548","55.341355338","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"549","55.353326646","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"550","55.356680118","192.168.1.10","192.168.1.20","TCP","66","33826  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450136369 TSecr=524503854"
"551","55.357201242","192.168.1.20","192.168.1.10","TCP","66","44818  >  33826 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524503858 TSecr=1450136369"
"552","55.357227389","192.168.1.10","192.168.1.20","TCP","66","33826  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450136370 TSecr=524503858"
"553","56.420170930","192.168.1.10","192.168.1.20","TCP","74","33840  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450137433 TSecr=0 WS=512"
"554","56.420189298","192.168.1.20","192.168.1.10","TCP","74","44818  >  33840 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524504921 TSecr=1450137433 WS=512"
"555","56.420200431","192.168.1.10","192.168.1.20","TCP","66","33840  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450137433 TSecr=524504921"
"556","56.446403666","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"557","56.446416438","192.168.1.20","192.168.1.10","TCP","66","44818  >  33840 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524504947 TSecr=1450137459"
"558","56.449538655","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xA2B00CE5"
"559","56.449567712","192.168.1.10","192.168.1.20","TCP","66","33840  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450137462 TSecr=524504950"
"560","56.450829644","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
