Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth3,18,2024-09-05 02:00:33.627,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0010
s1-eth2,19,2024-09-05 02:00:33.630,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,19,2024-09-05 02:00:33.630,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth3,19,2024-09-05 02:00:33.630,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,20,2024-09-05 02:00:33.630,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth2,21,2024-09-05 02:00:33.631,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,22,2024-09-05 02:00:33.644,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,20,2024-09-05 02:00:33.630,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth3,20,2024-09-05 02:00:33.630,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth1,21,2024-09-05 02:00:33.631,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,21,2024-09-05 02:00:33.631,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,22,2024-09-05 02:00:33.644,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,22,2024-09-05 02:00:33.644,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,23,2024-09-05 02:00:33.649,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0011
s1-eth2,23,2024-09-05 02:00:33.649,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0011
s1-eth3,23,2024-09-05 02:00:33.649,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0011
s1-eth2,24,2024-09-05 02:00:33.649,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0011
s1-eth1,24,2024-09-05 02:00:33.649,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0011
s1-eth3,24,2024-09-05 02:00:33.649,192.168.1.20,192.168.1.10,TCP,66,44818 → 57512 0x0011
s1-eth1,25,2024-09-05 02:00:33.649,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth2,25,2024-09-05 02:00:33.649,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth3,25,2024-09-05 02:00:33.649,192.168.1.10,192.168.1.20,TCP,66,57512 → 44818 0x0010
s1-eth2,26,2024-09-05 02:00:33.910,192.168.1.10,192.168.1.30,TCP,74,35188 → 44818 0x0002
s1-eth2,27,2024-09-05 02:00:33.910,192.168.1.30,192.168.1.10,TCP,74,44818 → 35188 0x0012
s1-eth1,26,2024-09-05 02:00:33.910,192.168.1.10,192.168.1.30,TCP,74,35188 → 44818 0x0002
s1-eth2,28,2024-09-05 02:00:33.910,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth2,29,2024-09-05 02:00:33.937,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,26,2024-09-05 02:00:33.910,192.168.1.10,192.168.1.30,TCP,74,35188 → 44818 0x0002
s1-eth3,27,2024-09-05 02:00:33.910,192.168.1.30,192.168.1.10,TCP,74,44818 → 35188 0x0012
s1-eth1,27,2024-09-05 02:00:33.910,192.168.1.30,192.168.1.10,TCP,74,44818 → 35188 0x0012
s1-eth1,28,2024-09-05 02:00:33.910,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth3,28,2024-09-05 02:00:33.910,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth1,29,2024-09-05 02:00:33.937,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth2,30,2024-09-05 02:00:33.937,192.168.1.30,192.168.1.10,TCP,66,44818 → 35188 0x0010
s1-eth2,31,2024-09-05 02:00:33.940,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,32,2024-09-05 02:00:33.940,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth2,33,2024-09-05 02:00:33.941,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,29,2024-09-05 02:00:33.937,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,30,2024-09-05 02:00:33.937,192.168.1.30,192.168.1.10,TCP,66,44818 → 35188 0x0010
s1-eth1,30,2024-09-05 02:00:33.937,192.168.1.30,192.168.1.10,TCP,66,44818 → 35188 0x0010
s1-eth3,31,2024-09-05 02:00:33.940,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,31,2024-09-05 02:00:33.940,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,32,2024-09-05 02:00:33.940,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth2,34,2024-09-05 02:00:33.954,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,35,2024-09-05 02:00:33.957,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0011
s1-eth2,36,2024-09-05 02:00:33.957,192.168.1.30,192.168.1.10,TCP,66,44818 → 35188 0x0011
s1-eth2,37,2024-09-05 02:00:33.957,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth3,32,2024-09-05 02:00:33.940,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth1,33,2024-09-05 02:00:33.941,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,33,2024-09-05 02:00:33.941,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,34,2024-09-05 02:00:33.954,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,34,2024-09-05 02:00:33.954,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,35,2024-09-05 02:00:33.957,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0011
s1-eth3,35,2024-09-05 02:00:33.957,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0011
s1-eth3,36,2024-09-05 02:00:33.957,192.168.1.30,192.168.1.10,TCP,66,44818 → 35188 0x0011
s1-eth1,36,2024-09-05 02:00:33.957,192.168.1.30,192.168.1.10,TCP,66,44818 → 35188 0x0011
s1-eth3,37,2024-09-05 02:00:33.957,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth1,37,2024-09-05 02:00:33.957,192.168.1.10,192.168.1.30,TCP,66,35188 → 44818 0x0010
s1-eth3,38,2024-09-05 02:00:33.992,fe80::94d4:71ff:fe83:4a73,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,38,2024-09-05 02:00:35.279,192.168.1.10,192.168.1.20,TCP,74,56678 → 44818 0x0002
s1-eth2,39,2024-09-05 02:00:35.279,192.168.1.20,192.168.1.10,TCP,74,44818 → 56678 0x0012
s1-eth2,40,2024-09-05 02:00:35.279,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth1,38,2024-09-05 02:00:35.279,192.168.1.10,192.168.1.20,TCP,74,56678 → 44818 0x0002
s1-eth2,41,2024-09-05 02:00:35.306,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,39,2024-09-05 02:00:35.279,192.168.1.20,192.168.1.10,TCP,74,44818 → 56678 0x0012
s1-eth1,40,2024-09-05 02:00:35.279,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth2,42,2024-09-05 02:00:35.306,192.168.1.20,192.168.1.10,TCP,66,44818 → 56678 0x0010
s1-eth3,39,2024-09-05 02:00:35.279,192.168.1.10,192.168.1.20,TCP,74,56678 → 44818 0x0002
s1-eth3,40,2024-09-05 02:00:35.279,192.168.1.20,192.168.1.10,TCP,74,44818 → 56678 0x0012
s1-eth3,41,2024-09-05 02:00:35.279,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth1,41,2024-09-05 02:00:35.306,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,42,2024-09-05 02:00:35.306,192.168.1.20,192.168.1.10,TCP,66,44818 → 56678 0x0010
s1-eth2,43,2024-09-05 02:00:35.309,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,43,2024-09-05 02:00:35.309,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,44,2024-09-05 02:00:35.309,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth2,44,2024-09-05 02:00:35.309,192.168.1.10,192.168.1.20,TCP,66,56678 → 44818 0x0010
s1-eth2,45,2024-09-05 02:00:35.311,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,42,2024-09-05 02:00:35.306,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth3,43,2024-09-05 02:00:35.306,192.168.1.20,192.168.1.10,TCP,66,44818 → 56678 0x0010
s1-eth3,44,2024-09-05 02:00:35.309,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
