Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth1,53,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35645 → 80 0x0002
s1-eth3,72,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32470 → 80 0x0002
s1-eth3,73,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32470 0x0014
s1-eth3,74,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32471 → 80 0x0002
s1-eth3,75,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32471 0x0014
s1-eth3,76,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32472 → 80 0x0002
s1-eth2,57,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34985 → 80 0x0002
s1-eth2,58,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34985 0x0014
s1-eth2,59,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34986 → 80 0x0002
s1-eth1,54,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35645 0x0014
s1-eth1,55,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35646 → 80 0x0002
s1-eth3,77,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32472 0x0014
s1-eth3,78,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32473 → 80 0x0002
s1-eth2,60,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34986 0x0014
s1-eth2,61,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34987 → 80 0x0002
s1-eth2,62,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34987 0x0014
s1-eth1,56,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35646 0x0014
s1-eth1,57,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35647 → 80 0x0002
s1-eth1,58,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35647 0x0014
s1-eth1,59,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35648 → 80 0x0002
s1-eth1,60,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35648 0x0014
s1-eth3,79,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32473 0x0014
s1-eth2,63,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34988 → 80 0x0002
s1-eth2,64,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34988 0x0014
s1-eth2,65,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34989 → 80 0x0002
s1-eth1,61,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35649 → 80 0x0002
s1-eth1,62,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35649 0x0014
s1-eth1,63,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35650 → 80 0x0002
s1-eth1,64,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35650 0x0014
s1-eth1,65,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35651 → 80 0x0002
s1-eth1,66,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35651 0x0014
s1-eth3,80,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32474 → 80 0x0002
s1-eth3,81,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32474 0x0014
s1-eth3,82,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32475 → 80 0x0002
s1-eth2,66,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34989 0x0014
s1-eth2,67,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34990 → 80 0x0002
s1-eth2,68,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34990 0x0014
s1-eth1,67,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35652 → 80 0x0002
s1-eth1,68,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35652 0x0014
s1-eth1,69,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35653 → 80 0x0002
s1-eth1,70,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35653 0x0014
s1-eth3,83,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32475 0x0014
s1-eth3,84,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32476 → 80 0x0002
s1-eth3,85,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32476 0x0014
s1-eth3,86,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32477 → 80 0x0002
s1-eth2,69,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34991 → 80 0x0002
s1-eth2,70,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34991 0x0014
s1-eth2,71,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,34992 → 80 0x0002
s1-eth2,72,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 34992 0x0014
s1-eth1,71,2024-09-04 05:59:27.069,192.168.1.77,192.168.1.10,TCP,54,35654 → 80 0x0002
s1-eth1,72,2024-09-04 05:59:27.069,192.168.1.10,192.168.1.77,TCP,54,80 → 35654 0x0014
s1-eth3,87,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32477 0x0014
s1-eth3,88,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32478 → 80 0x0002
s1-eth3,89,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32478 0x0014
s1-eth3,90,2024-09-04 05:59:27.029,192.168.1.77,192.168.1.10,TCP,54,32479 → 80 0x0002
s1-eth3,91,2024-09-04 05:59:27.029,192.168.1.10,192.168.1.77,TCP,54,80 → 32479 0x0014
