Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth2,1,2024-09-04 23:59:57.345,00:1d:9c:c7:b0:70,ff:ff:ff:ff:ff:ff,ARP,42,ARP
s1-eth2,2,2024-09-04 23:59:57.345,00:1d:9c:c8:bc:46,00:1d:9c:c7:b0:70,ARP,42,ARP
s1-eth2,3,2024-09-04 23:59:57.345,192.168.1.10,192.168.1.20,TCP,74,50890 → 44818 0x0002
s1-eth2,4,2024-09-04 23:59:57.345,192.168.1.20,192.168.1.10,TCP,74,44818 → 50890 0x0012
s1-eth2,5,2024-09-04 23:59:57.345,192.168.1.10,192.168.1.20,TCP,66,50890 → 44818 0x0010
s1-eth2,6,2024-09-04 23:59:57.377,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth3,1,2024-09-04 23:59:57.377,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,7,2024-09-04 23:59:57.377,192.168.1.20,192.168.1.10,TCP,66,44818 → 50890 0x0010
s1-eth3,2,2024-09-04 23:59:57.377,192.168.1.20,192.168.1.10,TCP,66,44818 → 50890 0x0010
s1-eth2,8,2024-09-04 23:59:57.379,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth3,3,2024-09-04 23:59:57.379,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,9,2024-09-04 23:59:57.379,192.168.1.10,192.168.1.20,TCP,66,50890 → 44818 0x0010
s1-eth3,4,2024-09-04 23:59:57.379,192.168.1.10,192.168.1.20,TCP,66,50890 → 44818 0x0010
s1-eth2,10,2024-09-04 23:59:57.380,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,5,2024-09-04 23:59:57.380,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,11,2024-09-04 23:59:57.387,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,6,2024-09-04 23:59:57.387,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,12,2024-09-04 23:59:57.393,192.168.1.10,192.168.1.20,TCP,66,50890 → 44818 0x0011
s1-eth3,7,2024-09-04 23:59:57.393,192.168.1.10,192.168.1.20,TCP,66,50890 → 44818 0x0011
