Time,MV101,P101,LIT101,LIT301,FIT101,FIT201
0,1,0,0.809444444444445,1.59092592592592,2.55,0.0
0,1,0,0.818888888888889,1.58638888888888,2.55,0.0
0,0,0,0.818888888888889,1.58185185185184,0.0,0.0
0,0,0,0.818888888888889,1.5773148148148,0.0,0.0
0,0,0,0.818888888888889,1.57277777777776,0.0,0.0
0,0,0,0.818888888888889,1.56824074074072,0.0,0.0
0,0,0,0.818888888888889,1.56370370370368,0.0,0.0
0,0,0,0.818888888888889,1.55916666666664,0.0,0.0
0,0,0,0.818888888888889,1.5546296296296,0.0,0.0
0,0,0,0.818888888888889,1.55009259259256,0.0,0.0
0,0,0,0.818888888888889,1.54555555555552,0.0,0.0
0,0,0,0.818888888888889,1.54101851851848,0.0,0.0
0,0,0,0.818888888888889,1.53648148148144,0.0,0.0
0,0,0,0.818888888888889,1.5319444444444,0.0,0.0
